stop_id,stop_name
740055068,1:a Sjögränd
740065060,7:e Villagatan
740014800,Aareavaara
740001006,Abbekås
740013938,Abbekås Ö
740062474,Abberyd
740047935,Abborns
740058335,Abborrbo
740053797,Abborreberg
740066458,Abborrkroksvägen
740066359,Abborrsjön
740069901,Abborrstigen
740023889,Abborrtjärn
740028754,Abborrtjärn E14
740026216,Abborrtjärn vägskäl
740001095,Abborrträsk Konsum
740027139,Abborrträsk väg 95
740050982,Abborrträskliden väg 365
740026433,Abborrviken
740068297,Abborrvägen
740039130,Abbotnäs
740054043,Abel Beckers gata
740017001,Abild
740054129,Abisko
740056360,Abisko centrum
740000114,Abisko Turiststation
740023825,Abisko Östra E10
740000151,Abisko Östra station
740021689,Abrahamsberg T-bana
740046255,Abrahamsbergsskolan
740046258,Abrahamsbergsvägen
740068429,Abrahamsby vägskäl
740075329,Abrahamsdal (Uppsala)
740009026,Abrahamstorp
740042483,Abrahamstorp
740076051,Abramsvägen Tät
740063642,Acklinga
740063641,Acklinga kyrka
740050867,Acklinga Solbacken
740013940,Adak
740032945,Adak Industrihuset
740026814,Adakliden vägskäl
740068490,Addarsnäs fritidsområde
740068489,Addarsnäs vägskäl
740068488,Addeboda
740062294,Adelavägen
740052139,Adelgatan
740063341,Adelsåsen
740045533,Adelsö färjeläge
740045535,Adelsö gård
740001007,Adelsö kyrka
740070956,Adelsögatan
740004051,Adelöv Marknadsplatsen
740040654,Adelöv Mickelstorp
740040713,Adelöv Noen
740040712,Adelöv Nostorp
740040655,Adelöv Skog V
740040656,Adelöv Skog Ö
740040653,Adelöv Svalhult
740064926,Adilsgatan
740069219,Adler Salvius väg
740049667,Adlers väg
740071159,Administrationscentrum
740046128,Adolf Fredriks kyrka
740038432,Adolfsberg (Marietorp)
740038330,Adolfsberg (Stallarholmen)
740051172,Adolfsbergsskolan
740010004,Adolfsfors
740001214,Adolfström
740069085,Advokatbacken
740031814,Af Chapmangymnasiet
740049421,Affären Hammar
740071568,Affären i Botsmark
740072668,Affärsvägen
740074629,Afsengatan
